key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-435619310,To Cut or Not To Cut? A Systematic Exploration of Y-axis Truncation,2024,,,Conference on Human Factors in Computing Systems - Proceedings,,,,,"Long, S. and Kay, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194855832&doi=10.1145%2F3613904.3642102&partnerID=40&md5=87f0666c0ee5c91186c0ea4d168c8a36,,,,,Export Date: 19 January 2026; Cited By: 6,10.1145/3613904.3642102,"",,
rayyan-435619311,CRTRE: Causal Rule Generation with Target Trial Emulation Framework,2024,,,,,,,144-158,"Wang, J. and Li, W. and Wang, H. and Lyu, H. and Thirukumaran, C.P. and Mesfin, A. and Yu, H. and Luo, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218005477&doi=10.1109%2FBigData62323.2024.10825951&partnerID=40&md5=2d73b7dbf299547c77eceacf1fd5896d,,,,,Export Date: 19 January 2026; Cited By: 0,10.1109/BigData62323.2024.10825951,"",,
rayyan-435619312,Problem-driven visualization design of health and pollution big data,2024,,,InfoDesign,,21,2,,"Giannella, J.R. and Illarramendi, X. and Mauro, R.C. and Barcellos Oliveira, L. and Falconieri Santiago, I. and Esperança, C. and Kosminsky, D.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207189459&doi=10.51358%2Fid.v21i2.1131&partnerID=40&md5=adee188f888ca21bd006920c858721da,,,,,Export Date: 19 January 2026; Cited By: 0,10.51358/id.v21i2.1131,"",,
rayyan-435619313,Risk Management,2024,,,,,,,1-312,"Alleman, G.B. and Quigley, J.M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196597917&doi=10.1201%2F9781003425465&partnerID=40&md5=adcb47f6a260d92af1fb69cdd4dcfe86,,,,,Export Date: 19 January 2026; Cited By: 5,10.1201/9781003425465,"",,
rayyan-435619315,CASES: A Cognition-Aware Smart Eyewear System for Understanding How People Read,2023,,,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",,7,3,,"Qi, X. and Lu, Q. and Pan, W. and Zhao, Y. and Zhu, R. and Dong, M. and Chang, Y. and Lv, Q. and Dick, R.P. and Yang, F. and Lu, T. and Gu, N. and Shang, L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173586250&doi=10.1145%2F3610910&partnerID=40&md5=e357d41f306d5fe4111303923bfb1262,,,,,Export Date: 19 January 2026; Cited By: 9,10.1145/3610910,"",,
rayyan-435619316,Achieving Digital Wellbeing Through Digital Self-control Tools: A Systematic Review and Meta-analysis,2023,,,ACM Transactions on Computer-Human Interaction,,30,4,,"Monge Roffarello, A.M. and De Russis, L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171789410&doi=10.1145%2F3571810&partnerID=40&md5=44b552cf71ebb3d200e3a41ad62f9704,,,,,Export Date: 19 January 2026; Cited By: 79,10.1145/3571810,"",,
rayyan-435619317,Much more than a prediction: Expert-based software effort estimation as a behavioral act,2023,,,Empirical Software Engineering,,28,4,,"Matsubara, P.G.F. and Steinmacher, I. and Gadelha, B. and Conte, T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164178905&doi=10.1007%2Fs10664-023-10332-9&partnerID=40&md5=0eb3c604988f9eed5e0ec0f8f5c55f04,,,,,Export Date: 19 January 2026; Cited By: 5,10.1007/s10664-023-10332-9,"",,
rayyan-435619318,Willingness to grant access to personal information among augmented reality mobile app users,2023,,,Personal and Ubiquitous Computing,,27,2,363-377,"Taub, G. and Elmalech, A. and Aharony, N.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142280031&doi=10.1007%2Fs00779-022-01700-1&partnerID=40&md5=e24242037c76563106e56658807a4fd5,,,,,Export Date: 19 January 2026; Cited By: 1,10.1007/s00779-022-01700-1,"",,
rayyan-435619319,A Survey on Task Assignment in Crowdsourcing,2023,,,ACM Computing Surveys,,55,3,,"Hettiachchi, D. and Kostakos, V. and Goncalves, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131557856&doi=10.1145%2F3494522&partnerID=40&md5=f7fecad278b4cf8b6fcaba9467129cc8,,,,,Export Date: 19 January 2026; Cited By: 65,10.1145/3494522,"",,
rayyan-435619320,What Drives Front-End Innovation in Fem-Tech Startups? Insights from a Quantitative Study,2023,,,,,,,240-247,"Chakraborty, I. and Ilavarasan, P.V. and Nandhini, K. and Edirippulige, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172291197&doi=10.1109%2FICDH60066.2023.00057&partnerID=40&md5=7a096955c8a37f5447492cfb5f9f9eb0,,,,,Export Date: 19 January 2026; Cited By: 0,10.1109/ICDH60066.2023.00057,"",,
rayyan-435619321,Tackling uncertainty through probabilistic modelling of proportionality in military operations,2023,,,"European Conference on Information Warfare and Security, ECCWS",,2023,,276-284,"Maathuis, C. and Chockalingam, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167622755&partnerID=40&md5=601778f0ab5d170f0084239ac1a4fe54,,,,,Export Date: 19 January 2026; Cited By: 3,,"",,
rayyan-435619322,Quantifying Worker Reliability for Crowdsensing Applications: Robust Feedback Rating and Convergence,2023,,,IEEE Transactions on Mobile Computing,,22,1,459-471,"Xie, H. and Lui, J.C.S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104251051&doi=10.1109%2FTMC.2021.3072477&partnerID=40&md5=97128ee975fce16becdcc5345f903f3a,,,,,Export Date: 19 January 2026; Cited By: 2,10.1109/TMC.2021.3072477,"",,
rayyan-435619323,Forecasting tunnel boring machine penetration rate using LSTM deep neural network optimized by grey wolf optimization algorithm,2022,,,Expert Systems with Applications,,209,,,"Mahmoodzadeh, A. and Reza Nejati, H.R. and Mohammadi, M. and Hashim Ibrahim, H. and Rashidi, S. and Rashid, T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135292935&doi=10.1016%2Fj.eswa.2022.118303&partnerID=40&md5=0f3f3f92423a1336ec953b52ed611dc8,,,,,Export Date: 19 January 2026; Cited By: 111,10.1016/j.eswa.2022.118303,"",,
rayyan-435619324,Unconscious Other’s Impression Changer: A Method to Manipulate Cognitive Biases That Subtly Change Others’ Impressions Positively/Negatively by Making AI Bias in Emotion Estimation AI,2022,,,Sensors,,22,24,,"Futami, K. and Yanase, S. and Murao, K. and Terada, T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144570985&doi=10.3390%2Fs22249961&partnerID=40&md5=f59cc9ea20982b0e2f921536da1b8ddb,,,,,Export Date: 19 January 2026; Cited By: 1,10.3390/s22249961,"",,
rayyan-435619325,Do You See What You Mean? Using Predictive Visualizations to Reduce Optimism in Duration Estimates,2022,,,Conference on Human Factors in Computing Systems - Proceedings,,,,,"Koval, M. and Jansen, Y.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130529796&doi=10.1145%2F3491102.3502010&partnerID=40&md5=859cec9fb8fe25adf676a1e59090563c,,,,,Export Date: 19 January 2026; Cited By: 9,10.1145/3491102.3502010,"",,
rayyan-435619326,How should we design violin plots?,2022,,,,,,,1-7,"Molina, E. and Viale, L. and Vázquez, P.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146337634&doi=10.1109%2FVisGuides57787.2022.00006&partnerID=40&md5=e82a30f0f3462996e57b2353bbdc0ffb,,,,,Export Date: 19 January 2026; Cited By: 12,10.1109/VisGuides57787.2022.00006,"",,
rayyan-435619327,The Impacts of Primacy/Recency Effects on Item Review Sentiment Analysis,2022,,,CEUR Workshop Proceedings,,3222,,33-45,"Gjergjizi, B. and Tran, T.N.T. and Felfernig, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139973756&partnerID=40&md5=105a09b68d3e1fbe60b4e43bf4e0fd68,,,,,Export Date: 19 January 2026; Cited By: 1,,"",,
rayyan-435619328,An Approach to Reduction of the Number of Pair-Wise Alternative Comparisons During Individual and Group Decision-Making,2022,,,Studies in Computational Intelligence,,1022,,163-183,"Tsyganok, V. and Andriichuk, O. and Kadenko, S. and Porplenko, Y. and Vlasenko, O.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127654354&doi=10.1007%2F978-3-030-94910-5_9&partnerID=40&md5=839c8c8e624bd882d4dbaea76a723bb7,,,,,Export Date: 19 January 2026; Cited By: 2,10.1007/978-3-030-94910-5_9,"",,
rayyan-435619329,Is it possible to disregard obsolete requirements? a family of experiments in software effort estimation,2021,,,Requirements Engineering,,26,3,459-480,"Gren, L. and Berntsson-Svensson, R.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104452176&doi=10.1007%2Fs00766-021-00351-7&partnerID=40&md5=b20821de7ba8e1b6131911e95b391224,,,,,Export Date: 19 January 2026; Cited By: 6,10.1007/s00766-021-00351-7,"",,
rayyan-435619330,Computational phenotyping of brain-behavior dynamics underlying approach-avoidance conflict in major depressive disorder,2021,,,PLOS Computational Biology,,17,5,,"Pedersen, M.L. and Ironside, M. and Amemori, K.-I. and McGrath, C.L. and Kang, M.S. and Graybiel, A.M. and Pizzagalli, D.A. and Frank, M.J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106291769&doi=10.1371%2Fjournal.pcbi.1008955&partnerID=40&md5=88ca47cbafc89d1a35403efc6daf425a,,,,,Export Date: 19 January 2026; Cited By: 41,10.1371/journal.pcbi.1008955,"",,
rayyan-435619331,AP-10K: A Benchmark for Animal Pose Estimation in the Wild,2021,,,Advances in Neural Information Processing Systems,,,,,"Yu, H. and Xu, Y. and Zhang, J. and Zhao, W. and Guan, Z. and Tao, D.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000375367&partnerID=40&md5=ba787fd559f724c6ad569aa46f5186bc,,,,,Export Date: 19 January 2026; Cited By: 86,,"",,
rayyan-435619332,CrowdCog:ACognitive Skill basedSystem for Heterogeneous Task Assignment and Recommendation in Crowdsourcing,2020,,,Proceedings of the ACM on Human-Computer Interaction,,4,,,"Hettiachchi, D. and van Berkel, N. and Kostakos, V. and Goncalves, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094195257&doi=10.1145%2F3415181&partnerID=40&md5=9b738c68f2205f544fcd598bdc7da0e5,,,,,Export Date: 19 January 2026; Cited By: 37,10.1145/3415181,"",,
rayyan-435619333,Hybrid Approach for Lower Limb Joint Angle Estimation using Genetic Algorithm and Feedforward Neural Network,2020,,,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",,2020,,3922-3927,"Obo, T. and Arai, S. and Matsuda, T. and Kurihara, Y.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098854889&doi=10.1109%2FSMC42975.2020.9283281&partnerID=40&md5=16b0aacd8874f6d98c584b187f535293,,,,,Export Date: 19 January 2026; Cited By: 2,10.1109/SMC42975.2020.9283281,"",,
rayyan-435619334,How psychosocial well-being and usage amount predict inaccuracies in retrospective estimates of digital technology use,2020,,,Mobile Media and Communication,,8,3,379-399,"Sewall, C.J.R. and Bear, T.M. and Merranko, J. and Rosen, D.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083157799&doi=10.1177%2F2050157920902830&partnerID=40&md5=cc00f6ec0bb7424ee31af69ebdd1f78b,,,,,Export Date: 19 January 2026; Cited By: 104,10.1177/2050157920902830,"",,
rayyan-435619335,Painometry: Wearable and objective quantification system for acute postoperative pain,2020,,,,,,,419-433,"Truong, H. and Bui, N. and Raghebi, Z. and Čeko, M. and Pham, N. and Nguyen, P. and Nguyen, A. and Kim, T. and Siegfried, K. and Stene, E. and Tvrdy, T. and Weinman, L. and Payne, T. and Burke, D. and Dinh, T. and D’Mello, S. and Banaei-Kashani, F. and Wager, T. and Goldstein, P. and Vu, T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088110479&doi=10.1145%2F3386901.3389022&partnerID=40&md5=bb41d614eac0ebeea1ec6524b7da1ddd,,,,,Export Date: 19 January 2026; Cited By: 8,10.1145/3386901.3389022,"",,
rayyan-435619336,How much AI do you require? Decision factors for adopting AI technology,2020,,,,,,,,"Wanner, J. and Heinrich, K. and Janiesch, C. and Zschech, P.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099537611&partnerID=40&md5=0958a73e399d8c123e887e8063c1955c,,,,,Export Date: 19 January 2026; Cited By: 23,,"",,
rayyan-435619337,Quantifying voter biases in online platforms: An instrumental variable approach,2019,,,Proceedings of the ACM on Human-Computer Interaction,,3,,,"Dev, H. and Karahalios, K. and Sundaram, H.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075052044&doi=10.1145%2F3359222&partnerID=40&md5=4734b83320f00bdc1edd2db805ff0125,,,,,Export Date: 19 January 2026; Cited By: 7,10.1145/3359222,"",,
rayyan-435619338,Interpreting Silent Gesture: Cognitive Biases and Rational Inference in Emerging Language Systems,2019,,,Cognitive Science,,43,7,,"Schouwstra, M. and de Swart, H. and Thompson, B.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069043422&doi=10.1111%2Fcogs.12732&partnerID=40&md5=ad7bab49763020f17ab1a19aa3814b37,,,,,Export Date: 19 January 2026; Cited By: 11,10.1111/cogs.12732,"",,
rayyan-435619339,Assessing the accuracy of diagnostic probability estimation: Evidence for defeasible modus ponens,2019,,,International Journal of Approximate Reasoning,,105,,229-240,"Stilgenbauer, J.-L. and Baratgin, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057775405&doi=10.1016%2Fj.ijar.2018.11.015&partnerID=40&md5=28f08bc1f3effcbb21e8a1adf1b42a21,,,,,Export Date: 19 January 2026; Cited By: 5,10.1016/j.ijar.2018.11.015,"",,
rayyan-435619340,When algorithmic predictions use human-generated data: A bias-aware classification algorithm for breast cancer diagnosis,2019,,,Information Systems Research,,30,1,97-116,"Ahsen, M.E. and Ayvaci, M.U.S. and Raghunathan, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065427066&doi=10.1287%2Fisre.2018.0789&partnerID=40&md5=54fc85a39ff6986a2739e0211737f1e8,,,,,Export Date: 19 January 2026; Cited By: 60,10.1287/isre.2018.0789,"",,
rayyan-435619341,An experimental evaluation of a de-biasing intervention for professional software developers,2018,,,Proceedings of the ACM Symposium on Applied Computing,,,,1510-1517,"Shepperd, M. and Mair, C. and Jørgensen, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050545193&doi=10.1145%2F3167132.3167293&partnerID=40&md5=61bf62e712c505c14d430e6885d99d55,,,,,Export Date: 19 January 2026; Cited By: 19,10.1145/3167132.3167293,"",,
rayyan-435619342,Thinking-driven testing: The most reasonable approach to quality control,2018,,,,,,,1-305,"Roman, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046022509&doi=10.1007%2F978-3-319-73195-7&partnerID=40&md5=9a3c836bfeec494772aab685a1928398,,,,,Export Date: 19 January 2026; Cited By: 4,10.1007/978-3-319-73195-7,"",,
rayyan-435619343,Can the outside-view approach improve planning decisions in software development projects?,2016,,,Information Systems Journal,,26,4,395-418,"Shmueli, O. and Pliskin, N. and Fink, L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945971918&doi=10.1111%2Fisj.12091&partnerID=40&md5=289aca5fc9280add2b608a5af71869a7,,,,,Export Date: 19 January 2026; Cited By: 32,10.1111/isj.12091,"",,
rayyan-435619344,A Bayesian cogntive approach to quantifying software exploitability based on reachability testing,2016,,,Lecture Notes in Computer Science,,9866,,343-365,"Yan, G. and Kucuk, Y. and Slocum, M. and Last, D.C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988418427&doi=10.1007%2F978-3-319-45871-7_21&partnerID=40&md5=fd88113abe0ed92be58fccce1dbe837d,,,,,Export Date: 19 January 2026; Cited By: 1,10.1007/978-3-319-45871-7_21,"",,
rayyan-435619345,Belief dynamics and biases in web search,2015,,,ACM Transactions on Information Systems,,33,4,,"White, R.W. and Horvitz, E.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929171867&doi=10.1145%2F2746229&partnerID=40&md5=41df4ddfeae505e8c428e9b940428356,,,,,Export Date: 19 January 2026; Cited By: 37,10.1145/2746229,"",,
rayyan-435619346,How task familiarity and cognitive predispositions impact behavior in a security game of timing,2014,,,Proceedings. The Computer Security Foundations Workshop III,,2014,,111-122,"Grossklags, J. and Reitter, D.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939646313&doi=10.1109%2FCSF.2014.16&partnerID=40&md5=c4c4c3305b77d7b07449a7dc7f21d958,,,,,Export Date: 19 January 2026; Cited By: 17,10.1109/CSF.2014.16,"",,
rayyan-435619347,Influence of confirmation biases of developers on software quality: An empirical study,2013,,,Software Quality Journal,,21,2,377-416,"Çalıklı, G. and Basar, A.B.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875477125&doi=10.1007%2Fs11219-012-9180-0&partnerID=40&md5=bcfb9e0f063708e69b9c688aa7c4c823,,,,,Export Date: 19 January 2026; Cited By: 28,10.1007/s11219-012-9180-0,"",,
rayyan-435619349,The impact of confirmation bias on the releasebased defect prediction of developer groups,2013,,,"Proceedings of the International Conference on Software Engineering and Knowledge Engineering, SEKE",,2013,,461-466,"Çalıklı, G. and Basar, A.B.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937706159&partnerID=40&md5=155cfd16f2d8bb81e0d0ae24cdc4f09a,,,,,Export Date: 19 January 2026; Cited By: 0,,"",,
rayyan-435619350,Performance norms: An approach to rework reduction in software development,2012,,,,,,,,"Conroy, P. and Kruchten, P.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870407409&doi=10.1109%2FCCECE.2012.6335063&partnerID=40&md5=85f995e8d445e8da1ca76603e29d29e9,,,,,Export Date: 19 January 2026; Cited By: 3,10.1109/CCECE.2012.6335063,"",,
rayyan-435619352,Designing IS service strategy: An information acceleration approach,2012,,,European Journal of Information Systems,,21,1,87-98,"Richard, P.J. and Coltman, T.R. and Keating, B.W.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856994585&doi=10.1057%2Fejis.2010.62&partnerID=40&md5=f1f4fbbb5717cb711f6cf192272c5da9,,,,,Export Date: 19 January 2026; Cited By: 17,10.1057/ejis.2010.62,"",,
rayyan-435619353,Toward a theory of debiasing software development,2011,,,Lecture Notes in Business Information Processing,,93,,92-105,"Ralph, P.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-82955184640&doi=10.1007%2F978-3-642-25676-9_8&partnerID=40&md5=5894905472e923cb9507a513d6c455bd,,,,,Export Date: 19 January 2026; Cited By: 28,10.1007/978-3-642-25676-9_8,"",,
rayyan-435619354,Decision support in car leasing: A forecasting model for residual value estimation,2010,,,,,,,,"Lessmann, S. and Listiani, M. and Voß, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870971347&partnerID=40&md5=81871e1f701e5f7b86db20891fc9d2f5,,,,,Export Date: 19 January 2026; Cited By: 19,,"",,
rayyan-435619355,Breeding software test cases for complex systems,2004,,,Proceedings of the Hawaii International Conference on System Science,,37,,4847-4856,"Watkins, A. and Berndt, D. and Aebischer, K. and Fisher, J. and Johnson, L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-12344306014&doi=10.1109%2Fhicss.2004.1265712&partnerID=40&md5=98be642b2bd2890be20874dc82f97e2e,,,,,Export Date: 19 January 2026; Cited By: 19,10.1109/hicss.2004.1265712,"",,
rayyan-435619356,"Software engineering project management, estimation and metrics: Discussion summary and recommendations",1996,,,,,,,500-503,"Paynter, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061151276&doi=10.1109%2FSEEP.1996.534043&partnerID=40&md5=589b80c93af3b4b743f4551b898aab93,,,,,Export Date: 19 January 2026; Cited By: 0,10.1109/SEEP.1996.534043,"",,
rayyan-435619359,"Relations Between Effort Estimates, Skill Indicators, and Measured Programming Skill",2021,,,IEEE Transactions on Software Engineering,1939-3520     VO  - 47,47,12,2892-2906,M. Jørgensen and G. R. Bergersen and K. Liestøl,,,,,,"",10.1109/TSE.2020.2973638,Software engineering;Psychology;Programming profession;Estimation;Java;D.2.9.b cost estimation;D.2.1.d management;D.2.0 software engineering;D.2.0b software psychology,,
rayyan-435619361,Software Development Estimation Biases: The Role of Interdependence,2012,,,IEEE Transactions on Software Engineering,1939-3520     VO  - 38,38,3,677-693,M. Jorgensen and S. Grimstad,,,,,,"",10.1109/TSE.2011.40,Estimation;Software;Companies;Context;Programming;Outsourcing;Instruments;Effort estimation;estimation bias;cultural differences;software engineering.,,
rayyan-435619362,Reliability and Accuracy of the Estimation Process - Wideband Delphi vs. Wisdom of Crowds,2011,,,2011 IEEE 35th Annual Computer Software and Applications Conference,0730-3157     VO  - ,,,350-359,M. G. Stochel,,,,,,"",10.1109/COMPSAC.2011.53,Estimation;Wideband;Software;Accuracy;Reliability;Psychology;Humans;Wisdom of Crowds;Wideband Delphi;estimation;estimation accuracy;estimation reliability,,
rayyan-435619363,Cognitive bias in the verification and validation of space flight systems,2012,,,2012 IEEE Aerospace Conference,1095-323X     VO  - ,,,1-10,S. Larson,,,,,,"",10.1109/AERO.2012.6187404,Accuracy;Testing;Probability;Meteorology;Availability;Mars,,
rayyan-435619364,Preliminaries on the Accurate Estimation of the Hurst Exponent Using Time Series,2021,,,2021 IEEE International Conference on Automation/XXIV Congress of the Chilean Association of Automatic Control (ICA-ACCA),     VO  - ,,,1-8,G. Millán and R. Osorio-Comparán and G. Lefranc,,,,,,"",10.1109/ICAACCA51523.2021.9465274,High-speed networks;Gaussian noise;Conferences;Time series analysis;Estimation;Computer networks;Fractals;Fractality;High-speed computer network;Hurst exponent (H);Time series;Traffic flows,,
rayyan-435619365,A Dynamic Theory of Security Free-Riding by Firms in the WFH Age,2022,,,2022 Winter Simulation Conference (WSC),1558-4305     VO  - ,,,484-495,R. Pal and R. X. Sequeira and L. Zhu and Y. She,,,,,,"",10.1109/WSC57314.2022.10015385,COVID-19;Costs;Pandemics;Aggregates;Organizations;Benchmark testing;Nash equilibrium,,
rayyan-435619366,Longitudinal Face Modeling via Temporal Deep Restricted Boltzmann Machines,2016,,,2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),1063-6919     VO  - ,,,5772-5780,C. N. Duong and K. Luu and K. G. Quach and T. D. Bui,,,,,,"",10.1109/CVPR.2016.622,Face;Aging;Shape;Computational modeling;Databases;Forensics;Feature extraction,,
rayyan-435619368,Trustworthy Visual-Textual Retrieval,2025,,,IEEE Transactions on Image Processing,1941-0042     VO  - 34,34,,4515-4526,Y. Qin and L. Huang and D. Peng and B. Jiang and J. Tianyi Zhou and X. Peng and P. Hu,,,,,,"",10.1109/TIP.2025.3587575,Uncertainty;Visualization;Reliability;Predictive models;Artificial intelligence;Training;Semantics;Measurement uncertainty;Data models;Cross modal retrieval;Visual-textual retrieval;trustworthy cross-modal learning;uncertainty learning;multimodal learning,,
rayyan-435619369,Make Object Connect: A Pose Estimation Network for UAV Images of the Outdoor Scene,2022,,,IGARSS 2022 - 2022 IEEE International Geoscience and Remote Sensing Symposium,2153-7003     VO  - ,,,7827-7830,J. Cao and Y. You and L. Xia and J. Liu,,,,,,"",10.1109/IGARSS46834.2022.9884183,Point cloud compression;Geometry;Visualization;Image segmentation;Pose estimation;Feature extraction;Cameras;pose estimation;feature matching;unmanned aerial vehicle (UA V);3D reconstruction,,
rayyan-435619370,Uncertainty handling and cognitive biases in knowledge engineering,1993,,,"IEEE Transactions on Systems, Man, and Cybernetics",2168-2909     VO  - 23,23,2,563-570,M. L. Donell and P. E. Lehner,,,,,,"",10.1109/21.229469,Uncertainty;Knowledge engineering;Robotics and automation;Orbital robotics;Service robots;Cognitive robotics;Automatic control;Parallel robots;Energy consumption;Null space,,
rayyan-435619371,A pricing approach to enhance the adaptability and accuracy of real estate price: An empirical study,2010,,,2010 International Conference on Management Science & Engineering 17th Annual Conference Proceedings,2155-1855     VO  - ,,,1638-1645,Z. Qing-hua and C. Bin-Wu and P. Xv,,,,,,"",10.1109/ICMSE.2010.5720002,Pricing;Biological system modeling;Marketing and sales;Industries;Investments;Analytical models;Economics;AHP;econometrics;price;real estate,,
rayyan-435619372,Discriminating different color from EEG signals using Interval-Type 2 fuzzy space classifier (a neuro-marketing study on the effect of color to cognitive state),2016,,,"2016 IEEE 1st International Conference on Power Electronics, Intelligent Control and Energy Systems (ICPEICES)",     VO  - ,,,1-6,A. Rakshit and R. Lahiri,,,,,,"",10.1109/ICPEICES.2016.7853388,Color;Electroencephalography;EEG;Neuro-Marketing;Color;PSD;IT2FS;Mental Arousal;Friedman Test;Precision;Recall Value,,
rayyan-435619373,"Trustworthiness evaluation in digital supply chains: a metric-based, stakeholder-driven approach",2025,,,International Conference on AI and the Digital Economy (CADE 2025),     VO  - 2025,2025,,161-166,M. Asante and G. Epiphaniou and C. Maple,,,,,,"",10.1049/icp.2025.2979,"",,
rayyan-435619374,Video acuity assessment in mobile devices,2015,,,2015 IEEE Conference on Computer Communications (INFOCOM),0743-166X     VO  - ,,,1-9,E. Baik and A. Pande and C. Stover and P. Mohapatra,,,,,,"",10.1109/INFOCOM.2015.7218361,Streaming media;Distortion;Measurement;Mobile communication;Visualization;Accuracy;Mobile handsets;Video Quality;Quality of Experience;Mobile Video,,
rayyan-435619375,Perceptual Alignment of Spatial Auditory and Tactile Stimuli for Effective Directional Cueing,2025,,,IEEE Transactions on Visualization and Computer Graphics,1941-0506     VO  - 31,31,5,2589-2599,D. Lee and S. Choi,,,,,,"",10.1109/TVCG.2025.3549128,Location awareness;Azimuth;Actuators;Accuracy;Multisensory integration;Visualization;Hazards;Ear;Training;Spatial audio;Audio-Tactile;Spatial Audio;Tactile Cueing;Crossmodal Congruence;Multisensory Integration;Avoidance,,
rayyan-435619376,Distributed Resource Allocation for Human-Autonomy Teaming With Human Preference Uncertainty,2025,,,IEEE Control Systems Letters,2475-1456     VO  - 9,9,,2327-2332,Y. Yao and R. Mbagna Nanko and Y. Wang and X. Wang,,,,,,"",10.1109/LCSYS.2025.3604959,Uncertainty;Probabilistic logic;Discrete Fourier transforms;Resource management;Autonomous agents;Vectors;Decision making;Standards;Gaussian distribution;Distributed algorithms;Distributed resource allocation;human-autonomy teaming;human preference uncertainty,,
rayyan-435619377,Object Ownership Processing in Peripersonal Space: An Electroencephalographic Study,2025,,,Journal of Cognitive Neuroscience,0898-929X     VO  - 37,37,10,1774-1786,L. Lenglart and C. Roger and A. Sampaio and Y. Coello,,,,,,"",10.1162/jocn_a_02337,"",,
rayyan-435619378,Blockchain Trust and Risk Perception Influencing Millennial Cryptocurrency Investment Decisions,2025,,,2025 4th International Conference on Creative Communication and Innovative Technology (ICCIT),     VO  - ,,,1-7,B. Tiara and J. Suwita and Kusnadi and T. Nurhaeni and A. Asmawati and D. Apriliasari and S. A. Anjani,,,,,,"",10.1109/ICCIT65724.2025.11167522,Statistical analysis;Shape;Decision making;Smart contracts;Systems architecture;Real-time systems;Blockchains;Cryptocurrency;Systems simulation;Investment;Blockchain Trust;Risk Perception;Cryptocurrency Investment;Millennial Investors;Behavioral Biases,,
rayyan-435619379,An online cognitive bias task: the Rough Estimation Task using Qualtrics,2020,2,,BEHAVIOURAL PHARMACOLOGY,"[""0955-8810"", ""1473-5849""]",31,1,97-101,"Wilcockson, TDW and Pothos, EM and Cox, WM",,,,,,"",10.1097/FBP.0000000000000508,"",,
rayyan-435619388,Feasibility of Streamlining an Interactive Bayesian-Based Diagnostic Support Tool Designed for Clinical Practice,2016,,,MEDICAL IMAGING 2016: PACS AND IMAGING INFORMATICS: NEXT GENERATION AND INNOVATIONS,"[""0277-786X"", ""1996-756X"", ""978-1-5106-0024-9""]",9789,,,"Chen, PH and Botzolakis, E and Mohan, S and Bryan, RN and Cook, T",,,,,,"",10.1117/12.2216574,"",,
